UID,Condition,SpawnTime,AnswerTime,ResponseTime,Question,Answer,CorrectAnswer,IsCorrect,Answered
1,Center_Dir_Close,14.903,24.913,N/A,A. 32 + 25 = 47 vs B. 13 + 19 = 32,N/A,B,False,False
1,Center_Dir_Close,24.913,27.015,2.103,A. 72 + 14 = 86 vs B. 14 + 64 = 78,B,A&B,True,True
