UID,Condition,SpawnTime,AnswerTime,ResponseTime,Question,Answer,CorrectAnswer,IsCorrect,Answered
2,Right_Head_Far,56.782,61.379,4.596,A. 78 + 10 = 88 vs B. 34 + 24 = 66,A,A,True,True
2,Right_Head_Far,61.379,62.435,1.056,A. 43 + 27 = 70 vs B. 89 + 9 = 99,A,A,True,True
