UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Center_Dir_Far,0,11.78,0.01565792,1.529336,-0.04481931,0.005644529,1.228801,-0.01844037,-0.5798318,-0.1545873,-0.09587382,0.79417,0.05512899,1.104315,0.128602,0.005426705,-0.1047297,-0.1546695,0.9823847,MathCanvas,-0.5566052,1.217362,1.398154,0.01559776,1.529299,-0.04487249,-0.2979729,-0.08346882,0.950918,0.0462435,1.530824,-0.03178069,-0.3233173,-0.08459914,0.9425014,-0.01492766,1.527849,-0.05785794,-0.2720223,-0.0817505,0.9588122,0.01565792,1.529336,-0.04481931,354.9117,336.6833,2.571448,0,2,False
1,Center_Dir_Far,1,11.8,0.01561434,1.529445,-0.04480972,0.005735433,1.22863,-0.01838792,-0.5795277,-0.1541212,-0.09596112,0.794472,0.05505969,1.104196,0.1283865,0.006052406,-0.1063516,-0.1568189,0.9818659,MathCanvas,-0.5566052,1.217362,1.398154,0.01560283,1.529352,-0.04483103,-0.3097488,-0.0880103,0.9467364,0.04619285,1.530932,-0.03175453,-0.335353,-0.08918911,0.9378613,-0.01496418,1.527958,-0.05786491,-0.2842166,-0.08637636,0.9548613,0.01561434,1.529445,-0.04480972,354.8951,336.6515,2.571284,0,2,False
1,Center_Dir_Far,2,11.82,0.01564249,1.529494,-0.04477638,0.005735433,1.22863,-0.01838792,-0.5795277,-0.1541212,-0.09596112,0.794472,0.05505969,1.104196,0.1283865,0.006052406,-0.1063516,-0.1568189,0.9818659,MathCanvas,-0.5566052,1.217362,1.398154,0.01561434,1.529445,-0.04480972,-0.3099013,-0.08778279,0.9467077,0.04622115,1.530982,-0.03172167,-0.335354,-0.08895476,0.9378831,-0.01493617,1.528005,-0.0578311,-0.2842174,-0.08614109,0.9548822,0.01564249,1.529494,-0.04477638,354.8817,336.6516,2.57342,0,2,False
1,Center_Dir_Far,3,11.84,0.01562974,1.529607,-0.0447203,0.005823104,1.228489,-0.01831511,-0.5789731,-0.1537756,-0.09598982,0.7949398,0.05338686,1.104316,0.1269657,0.005205959,-0.1192933,-0.1583939,0.9801293,MathCanvas,-0.5566052,1.217362,1.398154,0.01563609,1.529623,-0.04473448,-0.3106584,-0.08675382,0.9465544,0.04619299,1.531123,-0.03163274,-0.3363875,-0.0878865,0.9376137,-0.0149335,1.52809,-0.05780786,-0.2852713,-0.08503229,0.9546673,0.01562974,1.529607,-0.0447203,354.8232,336.5821,2.621964,0,2,False
1,Center_Dir_Far,4,11.86,0.01563397,1.529609,-0.04471475,0.005866486,1.228422,-0.01835596,-0.5788497,-0.1537165,-0.09604356,0.7950346,0.05263101,1.104416,0.1264106,0.005042792,-0.1231477,-0.1575562,0.9797884,MathCanvas,-0.5566052,1.217362,1.398154,0.01562974,1.529607,-0.0447203,-0.3134207,-0.08655935,0.9456611,0.04619058,1.531126,-0.03161182,-0.3393332,-0.08772671,0.9365666,-0.01492264,1.528092,-0.05781768,-0.2882588,-0.0848838,0.9537828,0.01563397,1.529609,-0.04471475,354.8087,336.5524,2.623568,0,2,False
1,Center_Dir_Far,5,11.88,0.01563893,1.529643,-0.04469864,0.005866486,1.228422,-0.01835596,-0.5788497,-0.1537165,-0.09604356,0.7950346,0.05215039,1.104458,0.1260393,0.004951478,-0.1258953,-0.1572517,0.9794886,MathCanvas,-0.5566052,1.217362,1.398154,0.01563397,1.529609,-0.04471475,-0.3143006,-0.0863813,0.9453853,0.04619056,1.531161,-0.03158426,-0.3400967,-0.0873844,0.9363216,-0.0149127,1.528124,-0.05781301,-0.289034,-0.08454251,0.9535785,0.01563893,1.529643,-0.04469864,354.7848,336.5295,2.626247,0,2,False
1,Center_Dir_Far,6,11.9,0.01571379,1.529692,-0.04472331,0.005929827,1.228271,-0.01845369,-0.5786305,-0.1537129,-0.09629503,0.7951644,0.05078648,1.104474,0.1253205,0.005360455,-0.129492,-0.152045,0.9798395,MathCanvas,-0.5566052,1.217362,1.398154,0.01564677,1.529673,-0.04468001,-0.314584,-0.08564415,0.9453582,0.0462589,1.531228,-0.03159578,-0.3400603,-0.08739696,0.9363337,-0.01483132,1.528156,-0.05785084,-0.289001,-0.08452482,0.95359,0.01571379,1.529692,-0.04472331,354.7866,336.5016,2.65632,0,2,False
1,Center_Dir_Far,7,11.92,0.01577223,1.529708,-0.04476367,0.00596059,1.228195,-0.01850621,-0.5784419,-0.1535489,-0.09631293,0.7953311,0.05052727,1.104469,0.1251074,0.004364789,-0.1284821,-0.1501498,0.9802696,MathCanvas,-0.5566052,1.217362,1.398154,0.01571379,1.529692,-0.04472331,-0.3146492,-0.08596095,0.9453077,0.04631414,1.531242,-0.03162833,-0.3402986,-0.08748221,0.9362391,-0.01476966,1.528175,-0.05789901,-0.2892435,-0.08461451,0.9535086,0.01577223,1.529708,-0.04476367,354.7912,336.4878,2.651248,0,2,False
1,Center_Dir_Far,8,11.94,0.0158796,1.529686,-0.04481797,0.005987602,1.228102,-0.01860021,-0.5782663,-0.1533422,-0.09619888,0.7955125,0.05079855,1.104422,0.1252544,0.003263325,-0.1238762,-0.1493438,0.9809896,MathCanvas,-0.5566052,1.217362,1.398154,0.01584796,1.529692,-0.04480847,-0.3139454,-0.08902864,0.9452577,0.04642007,1.531208,-0.03167807,-0.3394394,-0.09061401,0.9362532,-0.01466086,1.528163,-0.05795787,-0.2883766,-0.08774606,0.9534881,0.0158796,1.529686,-0.04481797,354.8096,336.4821,2.632755,0,2,False
1,Center_Dir_Far,9,11.96,0.01590845,1.529689,-0.04482412,0.005987602,1.228102,-0.01860021,-0.5782663,-0.1533422,-0.09619888,0.7955125,0.05087782,1.104407,0.1253289,0.003352612,-0.1231696,-0.1494263,0.9810656,MathCanvas,-0.5566052,1.217362,1.398154,0.0158796,1.529686,-0.04481797,-0.3140263,-0.08918012,0.9452166,0.04644766,1.531211,-0.0316812,-0.3395293,-0.09067337,0.9362149,-0.01463077,1.528168,-0.05796704,-0.288468,-0.08780667,0.9534549,0.01590845,1.529689,-0.04482412,354.8129,336.4767,2.631041,0,2,False
