UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Center_Head_Far,0,3.579999,0.04558504,1.144464,0.01276028,0.2369464,0.8189666,0.6094034,0.3146912,0.1460855,0.8079885,-0.4762175,0.1437318,0.7253455,0.2293194,0.02467462,0.01535699,-0.2672074,0.9632007,,0,0,0,0.04616982,1.144457,0.01076861,-0.02655282,0.1157315,-0.9929258,0.07880595,1.143985,0.01471922,0.002812926,0.1163988,0.9931985,0.01236414,1.144942,0.01080134,0.05672095,0.1150781,0.9917357,0.04558504,1.144464,0.01276028,348.0335,356.8,359.1579,0,0,False
1,Center_Head_Far,1,3.599999,0.04558845,1.144611,0.01455456,0.2369464,0.8189666,0.6094034,0.3146912,0.1460855,0.8079885,-0.4762175,0.1435496,0.7266844,0.2286075,0.02132988,0.0104792,-0.2647355,0.9640282,,0,0,0,0.04558504,1.144464,0.01276028,0.02977582,0.1157391,0.9928333,0.07881863,1.144206,0.01636725,0.0069318,0.1166789,0.9931455,0.01235826,1.145016,0.01274187,0.06083562,0.1154764,0.9914455,0.04558845,1.144611,0.01455456,348.0247,357.0255,359.2875,0,0,False
1,Center_Head_Far,2,3.619999,0.04296698,1.14511,0.01863549,0.2369793,0.8189473,0.609365,0.3146464,0.1461162,0.8079567,-0.4762917,0.1411563,0.7292564,0.2289931,0.01398936,0.02620343,-0.2400339,0.97031,,0,0,0,0.04405372,1.144574,0.01664249,-0.02591548,0.1128276,-0.9932765,0.07620965,1.144807,0.02022551,0.002193928,0.1115937,0.9937515,0.009724308,1.145413,0.01704546,0.05615728,0.1106457,0.9922721,0.04296698,1.14511,0.01863549,348.3405,357.3692,359.4673,0,0,False
1,Center_Head_Far,3,3.639999,0.04217162,1.145358,0.02060658,0.2369793,0.8189473,0.609365,0.3146464,0.1461162,0.8079567,-0.4762917,0.1407229,0.7305691,0.228554,0.01064226,0.02524959,-0.2349051,0.9716321,,0,0,0,0.04296698,1.14511,0.01863549,-0.01226674,0.1060171,-0.9942887,0.07542092,1.145122,0.0220638,-0.01101173,0.105578,0.99435,0.008922316,1.145594,0.01914936,0.04303087,0.1048593,0.9935557,0.04217162,1.145358,0.02060658,348.3933,357.5739,359.5856,0,0,False
1,Center_Head_Far,4,3.659999,0.04136559,1.145608,0.02258442,0.2369793,0.8189473,0.609365,0.3146464,0.1461162,0.8079567,-0.4762917,0.1402884,0.7318847,0.2281139,0.007287115,0.02429256,-0.2297551,0.972918,,0,0,0,0.04217162,1.145358,0.02060658,-0.01601422,0.1052186,-0.9943202,0.07462087,1.14544,0.02390857,-0.007254303,0.1047298,0.9944742,0.008110318,1.145777,0.02126028,0.04678609,0.1041235,0.9934633,0.04136559,1.145608,0.02258442,348.4459,357.7791,359.7043,0,0,False
1,Center_Head_Far,5,3.679999,0.03719766,1.146375,0.02706091,0.2369989,0.818967,0.6093833,0.3146428,0.1461093,0.8079581,-0.4762937,0.1432312,0.7238644,0.2309266,0.03313977,0.07566087,-0.2374015,0.9678935,,0,0,0,0.03894891,1.146156,0.02493959,-0.01843113,0.1013551,-0.9946798,0.07045545,1.146688,0.02829234,-0.006111309,0.0987757,0.995091,0.00393986,1.146062,0.02582947,0.04792968,0.09897048,0.9939354,0.03719766,1.146375,0.02706091,348.6378,357.7713,0.5492125,0,0,False
1,Center_Head_Far,6,3.699999,0.03551444,1.146632,0.02924656,0.2369996,0.8189676,0.609386,0.3146577,0.1461022,0.8079635,-0.476277,0.1432877,0.7236989,0.2309648,0.03419522,0.08170254,-0.2344566,0.9680834,,0,0,0,0.03719766,1.146375,0.02706091,-0.01708716,0.09806471,-0.9950335,0.06877463,1.147045,0.03038006,-0.007299092,0.09643842,0.9953122,0.002254251,1.146219,0.02811306,0.04675362,0.09682342,0.9942029,0.03551444,1.146632,0.02924656,348.7302,357.9064,0.7249492,0,0,False
1,Center_Head_Far,7,3.719999,0.03145523,1.147525,0.03369762,0.2370113,0.8189706,0.6093369,0.314694,0.1460873,0.807984,-0.4762227,0.1417485,0.7211773,0.231913,0.03680432,0.07978269,-0.2232967,0.9707826,,0,0,0,0.03338006,1.147157,0.03149943,-0.00831027,0.08650905,-0.9962165,0.06471635,1.148114,0.03472075,-0.01651021,0.08400739,0.9963284,-0.001805883,1.146936,0.0326745,0.03757824,0.08477,0.9956917,0.03145523,1.147525,0.03369762,349.124,358.0434,1.031876,0,0,False
1,Center_Head_Far,8,3.739999,0.02948477,1.147888,0.03591126,0.2370113,0.8189706,0.6093369,0.314694,0.1460873,0.807984,-0.4762227,0.1412773,0.7205043,0.2321233,0.03710369,0.08083866,-0.2191714,0.9716235,,0,0,0,0.03145523,1.147525,0.03369762,-0.01053889,0.0843887,-0.9963773,0.06274626,1.148574,0.03685908,-0.0144625,0.08192637,0.9965334,-0.003776716,1.147202,0.03496343,0.03962183,0.08285163,0.995774,0.02948477,1.147888,0.03591126,349.2466,358.1435,1.201665,0,0,False
1,Center_Head_Far,9,3.759999,0.02458668,1.14955,0.04077033,0.2370328,0.8190303,0.6093136,0.3147053,0.14609,0.8079844,-0.4762137,0.1384875,0.7168387,0.2322638,0.04848398,0.06648751,-0.2230652,0.9713242,,0,0,0,0.02711648,1.148725,0.03826062,-0.01181641,0.08030371,-0.9967004,0.05783901,1.150518,0.04179108,-0.01723646,0.07788576,0.9968132,-0.008665659,1.148583,0.03974958,0.03683939,0.07927763,0.9961716,0.02458668,1.14955,0.04077033,349.4878,357.9326,1.693645,0,0,False
