UID,Condition,SpawnTime,AnswerTime,ResponseTime,Question,Answer,CorrectAnswer,IsCorrect,Answered
1,Center_Head_Far,4.934,7.450,2.516,A. 77 + 12 = 89 vs B. 83 + 8 = 91,Both,A&B,True,True
1,Center_Head_Far,7.450,9.951,2.501,A. 56 + 26 = 82 vs B. 50 + 25 = 74,B,A,False,True
