UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Center_Dir_Close,0,29.79999,0.1430746,1.672614,-0.3821045,0.1312412,1.33786,-0.3606739,0.5028545,0.2866704,-0.06315648,-0.8129999,0.1789439,1.16313,-0.2067285,0.0127174,0.2279009,0.1863025,-0.9556102,MathCanvas,-0.8767164,1.53428,2.879059,0.1430682,1.672684,-0.3820706,-0.1935311,-0.4005327,0.8956112,0.17588,1.672536,-0.3714219,-0.2195609,-0.4017022,0.8890604,0.1102693,1.672693,-0.392787,-0.1670877,-0.3997784,0.9012541,0.1430746,1.672614,-0.3821045,357.9198,341.9677,359.8699,0,6,False
1,Center_Dir_Close,1,29.81999,0.1431722,1.672523,-0.38199,0.1312449,1.337682,-0.3608451,0.5026357,0.2874539,-0.06247376,-0.8129112,0.1780223,1.163566,-0.2047945,-0.002750039,0.1921441,0.1757781,-0.9654922,MathCanvas,-0.8767164,1.53428,2.879059,0.1430746,1.672614,-0.3821045,-0.19342,-0.4007405,0.8955421,0.1759712,1.672455,-0.3712876,-0.2201294,-0.400552,0.8894386,0.1103733,1.672591,-0.3926923,-0.1676634,-0.3986172,0.9016614,0.1431722,1.672523,-0.38199,357.8489,341.9327,359.8877,0,6,False
1,Center_Dir_Close,2,29.83999,0.1432075,1.672605,-0.3818731,0.131411,1.337651,-0.3609202,0.5024475,0.2875193,-0.06259093,-0.8129954,0.1762726,1.163484,-0.2046718,0.002130866,0.1844673,0.1524215,-0.9709454,MathCanvas,-0.8767164,1.53428,2.879059,0.1431878,1.672595,-0.3819107,-0.1926921,-0.4019926,0.8951378,0.176009,1.672521,-0.3711789,-0.2187969,-0.4031401,0.8885977,0.1104059,1.672689,-0.3925673,-0.1663234,-0.4011974,0.9007648,0.1432075,1.672605,-0.3818731,357.8622,341.9478,359.8597,0,6,False
1,Center_Dir_Close,3,29.85999,0.1433379,1.672469,-0.3818537,0.1316673,1.337646,-0.3610053,0.5022328,0.2872526,-0.0631507,-0.813179,0.1748638,1.162888,-0.2040903,0.009198905,0.1689736,0.1270348,-0.9773564,MathCanvas,-0.8767164,1.53428,2.879059,0.1432075,1.672605,-0.3818731,-0.1926562,-0.4021691,0.8950663,0.176157,1.672386,-0.3712135,-0.2170728,-0.4049495,0.8881978,0.1105187,1.672552,-0.3924939,-0.1645806,-0.4029948,0.9002824,0.1433379,1.672469,-0.3818537,357.976,342.0417,359.8625,0,6,False
1,Center_Dir_Close,4,29.87999,0.1435491,1.672274,-0.3818502,0.1318709,1.337685,-0.3610627,0.5021588,0.2868299,-0.06357431,-0.813341,0.1734853,1.162583,-0.2034231,0.01436558,0.149445,0.1020699,-0.9833827,MathCanvas,-0.8767164,1.53428,2.879059,0.1434887,1.672336,-0.3818717,-0.188788,-0.4084349,0.893051,0.1763841,1.672204,-0.3712591,-0.2143074,-0.4101977,0.8864593,0.1107141,1.672343,-0.3924413,-0.1617985,-0.4081825,0.8984478,0.1435491,1.672274,-0.3818502,358.1075,342.1265,359.8842,0,6,False
1,Center_Dir_Close,5,29.89999,0.1436328,1.672191,-0.3818396,0.1319401,1.337712,-0.3610917,0.5021774,0.286738,-0.06366175,-0.813355,0.1728342,1.162421,-0.2030364,0.01605788,0.1396819,0.0904239,-0.9859284,MathCanvas,-0.8767164,1.53428,2.879059,0.1435491,1.672274,-0.3818502,-0.1881484,-0.4091903,0.8928401,0.1764758,1.672126,-0.3712732,-0.2134645,-0.4111014,0.8862441,0.1107898,1.672256,-0.3924061,-0.1609475,-0.4090742,0.898195,0.1436328,1.672191,-0.3818396,358.1651,342.1691,359.8921,0,6,False
1,Center_Dir_Close,6,29.91999,0.1440296,1.671979,-0.3818553,0.1321026,1.337801,-0.3611596,0.5025542,0.2865803,-0.06362472,-0.8131808,0.1727772,1.161094,-0.2017486,0.006663294,0.1243283,0.08745117,-0.9883574,MathCanvas,-0.8767164,1.53428,2.879059,0.1439314,1.672063,-0.3818763,-0.1863816,-0.4103834,0.8926631,0.1768849,1.671954,-0.3713272,-0.2118249,-0.4120782,0.8861838,0.1111742,1.672004,-0.3923834,-0.1592971,-0.4099827,0.898075,0.1440296,1.671979,-0.3818553,358.2317,342.2339,359.9592,0,6,False
1,Center_Dir_Close,7,29.93999,0.1441051,1.672075,-0.3818021,0.132193,1.337815,-0.3611387,0.5025155,0.2864408,-0.06373405,-0.8132453,0.1735102,1.160529,-0.2013681,-0.008433611,0.1354534,0.1123925,-0.9843522,MathCanvas,-0.8767164,1.53428,2.879059,0.1440296,1.671979,-0.3818553,-0.1856556,-0.4110307,0.8925166,0.1769579,1.672027,-0.3712662,-0.2124551,-0.4110195,0.8865246,0.1112522,1.672123,-0.392338,-0.1599279,-0.4089663,0.8984262,0.1441051,1.672075,-0.3818021,358.162,342.2216,359.92,0,6,False
1,Center_Dir_Close,8,29.95999,0.1441252,1.672154,-0.3817617,0.1323178,1.337806,-0.3612188,0.5024375,0.2864338,-0.06364676,-0.8133028,0.1733777,1.161003,-0.2024648,-0.0130876,0.1719447,0.1394168,-0.9751034,MathCanvas,-0.8767164,1.53428,2.879059,0.1441051,1.672075,-0.3818021,-0.1862863,-0.4099933,0.8928622,0.1769732,1.672092,-0.3712108,-0.2130818,-0.4105911,0.8865727,0.1112772,1.672217,-0.3923126,-0.1605589,-0.4085621,0.8984975,0.1441252,1.672154,-0.3817617,358.1333,342.1961,359.8968,0,6,False
1,Center_Dir_Close,9,29.97999,0.1442513,1.67212,-0.381752,0.1323672,1.337808,-0.3612486,0.502355,0.2864221,-0.06365199,-0.8133575,0.1728303,1.161346,-0.2035521,-0.0123499,0.1859268,0.140695,-0.9723598,MathCanvas,-0.8767164,1.53428,2.879059,0.1441839,1.672133,-0.3817676,-0.1908267,-0.4010411,0.8959638,0.1770935,1.672046,-0.371183,-0.2170557,-0.4020993,0.8894958,0.1114092,1.672194,-0.3923211,-0.1645448,-0.4001815,0.901543,0.1442513,1.67212,-0.381752,358.1293,342.1652,359.8772,0,6,False
